,positive
0,"['rt @jaexplained: ""brooooo, life is so good, in la...dude i\'m so happy...i\'m so happy here"" 🥺🥺🥺🥺 https://t.co/aj2emotqgg']"
1,['the idea that all planning rules are nimbyism is absurd. would you be happy to have a coal mine next door? a 24 hou… https://t.co/wgh9deesno']
2,['@clickonnadeem @rzandeem8 stay blessed and keep smiling. happy birthday. https://t.co/vd3smzvpy6']
3,['rt @pulte: i sent $250. happy thanksgiving! 🦃']
4,"['#solana #airdrop #samo #woof #airdropsolana #sball nice project well done team, i’m happy to participate in this… https://t.co/ginm15miji']"
5,"['while i am happy to see that @richhomiejuice has survived another year, i think its only appropriate that we offer… https://t.co/tje3fzpwpc']"
6,['@grapefantava happy birthday my love!!! i hope u have a wonderful wonderful day because u as a wonderful person des… https://t.co/q8l7atrz3j']
7,['rt @warholss: i be happy as hell when a mf stop talkin to me. especially when they wasn’t even talkin about shit ina first place lol']
8,['rt @kevinabstract: spotify added lyrics wow i am so happy about this thank you spotify']
9,"[""¤☆¤ ref sheet ¤☆¤ - - - this is my fursona's ref sheet!! :3 i'm so happy to finally finally finish it gaahhh after… https://t.co/ij1f6gffuu""]"
10,"['@iluvtaekok hello, you can download the video from here: https://t.co/zntslz76ch happy to help 😃']"
11,['rt @x_sandy0: would you be happy to see my secret photos? 😈😈 rt: yes 🔥 dm: yes 😍 https://t.co/ntymaqj9p6']
12,['rt @jaemargal: good morning — happy thursday! https://t.co/yytpudumgs']
13,"[""don't get me wrong, i'm happy with this news but i'm also not gonna be a blind fanboy and just play along without f… https://t.co/c2lsexfdd4""]"
14,['rt @luna969cali: happy asssssss day💋🍑 https://t.co/eu2onm4exp']
15,"['rt @redsox: happy birthday, big papi! thankful for all the memories. especially this one. https://t.co/hvh6wl9rxl']"
16,['@lcsofficial @aphromoo @flyquest happy for you aphro:)']
17,['rt @gidikariuki: not a single bullet was fired in their arrest?? na venye police are always trigger happy even against civilians lies']
18,"[""rt @i2hyejoo: happy birthday to hyeju's soulmate 🦋 #happygowonday https://t.co/titork83ik""]"
